CountryName,CountryCode,Date,School closing,Stay at home requirements,ConfirmedCases,ConfirmedDeaths,StringencyIndex
Cape Verde,CPV,4/9/2020,2,2,7,1,91.67
Cape Verde,CPV,4/10/2020,2,2,7,1,91.67
Cape Verde,CPV,4/11/2020,2,2,7,1,91.67
Cape Verde,CPV,4/12/2020,2,2,8,1,91.67
Cape Verde,CPV,4/13/2020,2,2,10,1,91.67
Cape Verde,CPV,4/14/2020,2,2,10,1,91.67
Cape Verde,CPV,4/15/2020,2,2,11,1,91.67
Cape Verde,CPV,4/16/2020,2,2,55,1,91.67
Cape Verde,CPV,4/17/2020,2,2,55,1,91.67
Cape Verde,CPV,4/18/2020,2,2,56,1,91.67
Cape Verde,CPV,4/19/2020,2,2,58,1,91.67
Cape Verde,CPV,4/20/2020,2,2,61,1,91.67
Cape Verde,CPV,4/21/2020,2,2,67,1,91.67
Cape Verde,CPV,4/22/2020,2,2,67,1,91.67
Cape Verde,CPV,4/23/2020,2,2,73,1,91.67
Cape Verde,CPV,4/24/2020,2,2,82,1,91.67
Cape Verde,CPV,4/25/2020,2,2,88,1,91.67
Cape Verde,CPV,4/26/2020,2,2,90,1,91.67
Cape Verde,CPV,4/27/2020,2,2,106,1,91.67
Cape Verde,CPV,4/28/2020,2,2,109,1,91.67
Cape Verde,CPV,4/29/2020,2,2,113,1,91.67
Cape Verde,CPV,4/30/2020,2,2,113,1,91.67
Cape Verde,CPV,5/1/2020,2,2,121,1,91.67
Cape Verde,CPV,5/2/2020,2,2,123,2,91.67
Cape Verde,CPV,5/3/2020,2,2,152,2,91.67
Cape Verde,CPV,5/4/2020,2,2,165,2,91.67
Cape Verde,CPV,5/5/2020,2,2,175,2,79.76
Cape Verde,CPV,5/6/2020,2,2,186,2,79.76
Cape Verde,CPV,5/7/2020,2,2,191,2,79.76
Cape Verde,CPV,5/8/2020,3,2,218,2,83.33
Cape Verde,CPV,5/9/2020,3,2,230,2,83.33
Cape Verde,CPV,5/10/2020,3,2,236,2,83.33
Cape Verde,CPV,5/11/2020,3,2,246,2,83.33
Cape Verde,CPV,5/12/2020,3,2,260,2,83.33
Cape Verde,CPV,5/13/2020,3,2,270,2,83.33
Cape Verde,CPV,5/14/2020,3,2,289,2,83.33
Cape Verde,CPV,5/15/2020,3,2,315,2,83.33
Cape Verde,CPV,5/16/2020,3,2,326,2,83.33
Cape Verde,CPV,5/17/2020,3,2,328,3,83.33
Cape Verde,CPV,5/18/2020,2,2,328,3,76.19
Cape Verde,CPV,5/19/2020,2,2,328,3,76.19
Cape Verde,CPV,5/20/2020,2,2,335,3,76.19
Cuba,CUB,3/24/2020,3,2,40,1,77.38
Cuba,CUB,3/25/2020,3,2,48,1,77.38
Cuba,CUB,3/26/2020,3,2,57,1,77.38
Cuba,CUB,3/27/2020,3,2,67,2,77.38
Cuba,CUB,3/28/2020,3,2,80,2,77.38
Cuba,CUB,3/29/2020,3,2,119,3,77.38
Cuba,CUB,3/30/2020,3,2,139,3,77.38
Cuba,CUB,3/31/2020,3,2,170,4,77.38
Cuba,CUB,4/1/2020,3,2,186,6,77.38
Cuba,CUB,4/2/2020,3,2,212,6,77.38
Cuba,CUB,4/3/2020,3,2,233,6,77.38
Cuba,CUB,4/4/2020,3,2,269,6,77.38
Cuba,CUB,4/5/2020,3,2,288,6,77.38
Cuba,CUB,4/6/2020,3,2,320,8,77.38
Cuba,CUB,4/7/2020,3,2,350,9,84.52
Cuba,CUB,4/8/2020,3,2,396,11,84.52
Cuba,CUB,4/9/2020,3,2,457,12,84.52
Cuba,CUB,4/10/2020,3,2,515,15,84.52
Cuba,CUB,4/11/2020,3,2,564,15,89.29
Cuba,CUB,4/12/2020,3,2,620,16,89.29
Cuba,CUB,4/13/2020,3,2,669,18,89.29
Cuba,CUB,4/14/2020,3,2,726,21,89.29
Cuba,CUB,4/15/2020,3,2,766,21,89.29
Cuba,CUB,4/16/2020,3,2,814,24,89.29
